Açaí-Guaraná,Citrus,Estação,LAT,LONG,Maçã-Verde,Movimentação,Original_269,Original_473,Pêssego,TARGET,Tangerina,Tempo,Zero,_id,_rev,row
39,38,Paraíso,-23.57677,-46.63933,30,70419,57,36,10,NORMAL,21,2019-12-29,14,2d795dbd729f9b57695b0a434c73df44,1-6d70f3dafd0f37cce2003e79eec4ecce,719
38,23,Paraíso,-23.57677,-46.63933,29,70456,19,46,25,NORMAL,7,2019-6-16,55,2d795dbd729f9b57695b0a434c797608,1-4350f3e96b9179258f462e6022961cee,526
22,20,Paraíso,-23.57677,-46.63933,26,72867,65,76,8,NORMAL,43,2019-6-30,17,2d795dbd729f9b57695b0a434c7a23a3,1-67b18d6c58a4eced20d1015e89adb8f7,540
13,13,Paraíso,-23.57677,-46.63933,20,70425,53,54,43,NORMAL,31,2019-7-2,65,2d795dbd729f9b57695b0a434c7a350e,1-2a525c78bf1a83c26e5384496bf47f28,542
43,29,Paraíso,-23.57677,-46.63933,43,70268,65,86,38,NORMAL,28,2019-9-30,49,2d795dbd729f9b57695b0a434c809b8d,1-9a0bcf46e6bd73f33e0479fd5d48c51b,630
23,23,Paraíso,-23.57677,-46.63933,26,70344,31,7,33,REABASTECER,26,2019-11-18,36,2d795dbd729f9b57695b0a434c836053,1-734e6815ce9ee91a73acf314800c5d9b,678
15,24,Paraíso,-23.57677,-46.63933,26,70534,39,20,37,NORMAL,15,2019-6-2,26,2d795dbd729f9b57695b0a434c8458a9,1-7249ea2072681b618c399a4a9a8461d6,512
29,39,Brigadeiro,-23.5683,-46.6482,17,48244,65,26,19,NORMAL,37,2018-11-9,58,2d795dbd729f9b57695b0a434c886d17,1-4736216cf16a4591af0d05e6d2510d97,1029
12,13,Paraíso,-23.57677,-46.63933,14,72868,21,22,26,NORMAL,23,2019-11-9,27,2d795dbd729f9b57695b0a434c8fbe0d,1-afdd79118248c14f8f345cff6be6ebed,669
35,31,Paraíso,-23.57677,-46.63933,37,70379,50,40,5,REABASTECER,39,2019-11-15,55,2d795dbd729f9b57695b0a434c8ff3c7,1-4758ca560f264c3b55b9abeac1dfefb2,675
23,30,Brigadeiro,-23.5683,-46.6482,9,47789,54,39,38,NORMAL,38,2018-2-28,65,2d795dbd729f9b57695b0a434c973659,1-61a344831c7fb56a2f2486455e3e5fa7,778
23,32,Brigadeiro,-23.5683,-46.6482,24,49511,65,35,1,REABASTECER,41,2018-3-8,57,2d795dbd729f9b57695b0a434c97d321,1-383fdfb92468589f91f042284a673052,788
43,40,Brigadeiro,-23.5683,-46.6482,22,47621,18,86,5,NORMAL,13,2018-5-21,35,2d795dbd729f9b57695b0a434c9d2383,1-4480ea8bee33d1e83f974e26a7c07044,861
39,43,Brigadeiro,-23.5683,-46.6482,2,49151,31,86,37,REABASTECER,14,2019-3-16,14,2d795dbd729f9b57695b0a434ca4f91a,1-04992c54496a0b04eedcde248d25be3c,1156
11,26,Trianon-Masp,-23.5634,-46.6544,3,43061,29,51,18,NORMAL,32,2018-6-3,55,2d795dbd729f9b57695b0a434caff6d7,1-2568b01a4897f0d043d2b1229e12369f,1593
27,31,Brigadeiro,-23.5683,-46.6482,22,49618,10,62,24,NORMAL,40,2019-3-9,65,2d795dbd729f9b57695b0a434cb20293,1-74743486c810fc8ec54ffbd998f2416b,1149
27,22,Trianon-Masp,-23.5634,-46.6544,21,43723,25,65,31,NORMAL,11,2018-8-15,60,2d795dbd729f9b57695b0a434cb4c7eb,1-cd96d93671964a4b63204ebcf3689d73,1665
43,7,Trianon-Masp,-23.5634,-46.6544,13,42087,60,13,2,REABASTECER,35,2018-8-21,25,2d795dbd729f9b57695b0a434cb535ef,1-b9d81f0b4dcfba41f0b82440b3e54a53,1671
34,11,Trianon-Masp,-23.5634,-46.6544,14,43880,28,15,28,NORMAL,21,2018-9-16,43,2d795dbd729f9b57695b0a434cb79bad,1-feebb7a3bfef8e010db97189e10475ac,1696
43,29,Trianon-Masp,-23.5634,-46.6544,20,42371,8,74,9,NORMAL,13,2018-1-20,65,2d795dbd729f9b57695b0a434cbabfdd,1-8892189589f36d91d928f113289c770d,1460
43,17,Brigadeiro,-23.5683,-46.6482,37,48472,51,74,19,NORMAL,19,2019-10-3,35,2d795dbd729f9b57695b0a434cc1cc2c,1-67ff3995248547db8704065581bf699c,1353
25,42,Trianon-Masp,-23.5634,-46.6544,23,45281,47,56,6,REABASTECER,41,2019-4-21,31,2d795dbd729f9b57695b0a434cc7634c,1-e50d9d52f391135af406a9c7e6f49c8b,1911
10,26,Trianon-Masp,-23.5634,-46.6544,27,44196,62,62,39,NORMAL,28,2018-10-24,59,2d795dbd729f9b57695b0a434ccfcadf,1-55d7da7094ff634e465f044fb02b25ac,1734
36,4,Consolação,-23.5581,-46.6606,15,112827,10,51,38,NORMAL,20,2018-3-23,36,2d795dbd729f9b57695b0a434ce0f3a9,1-b060a1df7797784c5e4f205c00564e69,2243
40,15,Trianon-Masp,-23.5634,-46.6544,13,42407,18,57,30,NORMAL,22,2018-12-27,13,2d795dbd729f9b57695b0a434ce48683,1-5721d8dd244d858518aefc53abe3243c,1797
2,30,Consolação,-23.5581,-46.6606,16,111819,40,86,3,NORMAL,22,2018-7-21,34,2d795dbd729f9b57695b0a434ce9da4b,1-ac6534936b1286b15bd6b67c9ae7b9e2,2361
11,37,Consolação,-23.5581,-46.6606,12,113870,55,33,40,NORMAL,37,2018-10-17,34,2d795dbd729f9b57695b0a434cefc7c1,1-121558f148f5dda549c53cb8517f57b9,2447
43,33,Consolação,-23.5581,-46.6606,20,113164,60,43,43,NORMAL,21,2019-2-4,46,2d795dbd729f9b57695b0a434cf827d1,1-bc7c21387e9bb20e175e72ff5c171152,2554
6,21,Trianon-Masp,-23.5634,-46.6544,43,43401,30,55,35,NORMAL,19,2019-11-18,12,2d795dbd729f9b57695b0a434cfc603d,1-e2519c28df3206a6239c1e10d93d620b,2118
38,7,Eucaliptos,-23.61,-46.6686,6,23809,41,68,43,REABASTECER,33,2019-10-23,56,2d7f4c930ea39144c11f1984b604537c,1-0e36b93e8a341bc0232a2d4b7992d2d3,16493
43,39,Eucaliptos,-23.61,-46.6686,32,23210,46,26,37,NORMAL,26,2019-11-25,22,2d7f4c930ea39144c11f1984b606a0fa,1-8487edd1f08fdcec454b715e0a75a0d4,16525
21,18,Moema,-23.5489,-46.6388,5,18500,14,20,40,NORMAL,39,2018-3-27,22,2d7f4c930ea39144c11f1984b617bdb5,1-cc393eda2a010c3c9349e60d5ab548df,16647
9,32,Paraíso,-23.57677,-46.63933,29,73330,20,26,18,NORMAL,41,2018-2-12,41,2d7f4c930ea39144c11f1984b6217f95,1-37557fefd8ae8452e91772d6dafa0fdd,42
36,9,Moema,-23.5489,-46.6388,17,20046,10,53,43,NORMAL,36,2018-8-13,20,2d7f4c930ea39144c11f1984b622f14e,1-45dfc3eb0310c15391f1edd9df810f68,16783
10,8,Paraíso,-23.57677,-46.63933,28,71526,31,17,11,NORMAL,33,2018-4-15,65,2d7f4c930ea39144c11f1984b626cce8,1-741ef31f9987607038ed5db4dabda410,105
35,9,Paraíso,-23.57677,-46.63933,28,71573,60,6,16,NORMAL,43,2018-11-5,65,2d7f4c930ea39144c11f1984b6376925,1-95327c9667cad4f0b02104642f74d7da,305
16,7,Paraíso,-23.57677,-46.63933,22,71081,14,13,37,REABASTECER,36,2018-5-29,1,2d7f4c930ea39144c11f1984b642ef6b,1-4fb8c6114a467727e5e027a3990b743d,149
22,16,Paraíso,-23.57677,-46.63933,17,73056,47,39,18,REABASTECER,43,2018-10-15,7,2d7f4c930ea39144c11f1984b6475b56,1-d1fc4482422ea4cad41a0c30b55600e1,285
37,37,Paraíso,-23.57677,-46.63933,32,70441,9,48,22,REABASTECER,11,2018-10-23,14,2d7f4c930ea39144c11f1984b64eee5b,1-6df4405325da751999b0529acd7cb405,293
15,9,Paraíso,-23.57677,-46.63933,37,71476,18,23,35,NORMAL,43,2019-3-10,65,2d7f4c930ea39144c11f1984b65434cd,1-89bd7a75224d3e368f56f82b0fc8b5d1,430
2,12,Paraíso,-23.57677,-46.63933,11,70558,10,57,22,NORMAL,10,2019-11-22,5,2d7f4c930ea39144c11f1984b656d7f2,1-c92b7d82468ef941a0f8c2890c3e2ef4,682
9,24,Brigadeiro,-23.5683,-46.6482,21,47537,19,60,27,NORMAL,7,2018-3-24,57,2d7f4c930ea39144c11f1984b6610a91,1-e89ec3d00b6f28696dd573fec1de4cc9,804
35,8,Brigadeiro,-23.5683,-46.6482,38,46481,19,48,4,REABASTECER,21,2018-4-30,52,2d7f4c930ea39144c11f1984b6647bea,1-6f11d21c419112587438e6635d7759e6,840
40,10,Paraíso,-23.57677,-46.63933,2,72570,44,24,16,REABASTECER,17,2019-8-19,16,2d7f4c930ea39144c11f1984b6694761,1-8cd4b9b2a23a39c2c2bce766130cbaca,589
40,37,Paraíso,-23.57677,-46.63933,26,71307,52,86,26,NORMAL,22,2019-9-11,61,2d7f4c930ea39144c11f1984b66af264,1-81b44d3d007ddeb17d68e35febd7b890,611
43,34,Paraíso,-23.57677,-46.63933,27,71835,65,76,23,NORMAL,31,2019-12-16,38,2d7f4c930ea39144c11f1984b672bd22,1-0c3e582b7819ea178dd360280c5e9599,706
24,43,Brigadeiro,-23.5683,-46.6482,17,47587,49,52,11,NORMAL,30,2018-12-3,26,2d7f4c930ea39144c11f1984b676fdf5,1-9e5db40745df249bdc1fe615a72e4e54,1053
23,27,Brigadeiro,-23.5683,-46.6482,43,48865,58,64,41,NORMAL,41,2018-2-17,7,2d7f4c930ea39144c11f1984b67851bd,1-448f8d8ffdd98d4df13994badeca4002,767
19,36,Brigadeiro,-23.5683,-46.6482,34,47838,41,67,31,REABASTECER,19,2018-4-2,4,2d7f4c930ea39144c11f1984b67c450c,1-32a3b44f47f341e03181d5b5a6c95258,812
3,11,Brigadeiro,-23.5683,-46.6482,23,46175,37,38,24,REABASTECER,18,2018-7-1,14,2d7f4c930ea39144c11f1984b67cf0ae,1-f5e2586de80171b822b0454fe5bc5798,901
23,15,Brigadeiro,-23.5683,-46.6482,7,49371,44,56,27,NORMAL,11,2018-4-12,59,2d7f4c930ea39144c11f1984b67d187b,1-8da8b6e2c786fc9f92d4c247f3a58173,822
19,43,Brigadeiro,-23.5683,-46.6482,17,46778,52,49,33,NORMAL,30,2018-7-19,24,2d7f4c930ea39144c11f1984b67e5a04,1-80ac52731cad2de551eaed9dc3b0ceff,919
43,15,Brigadeiro,-23.5683,-46.6482,21,48771,24,68,43,NORMAL,7,2018-8-14,54,2d7f4c930ea39144c11f1984b67ffbf8,1-442b400c7f3fdc78fe4e102f21581b72,944
10,28,Brigadeiro,-23.5683,-46.6482,37,49602,54,55,43,NORMAL,17,2019-4-16,13,2d7f4c930ea39144c11f1984b6822892,1-b58e04efaf34a92456d9a13016c6e68f,1186
20,43,Brigadeiro,-23.5683,-46.6482,43,47248,47,48,7,NORMAL,22,2019-4-25,14,2d7f4c930ea39144c11f1984b682ff62,1-ded6725f599532f70d9357625494e7a2,1195
4,39,Brigadeiro,-23.5683,-46.6482,37,46495,39,11,4,NORMAL,9,2019-5-8,57,2d7f4c930ea39144c11f1984b683ff14,1-19601ec968d924e740d4ef5f9b6b772f,1208
7,36,Brigadeiro,-23.5683,-46.6482,14,47055,36,29,23,NORMAL,18,2018-7-21,12,2d7f4c930ea39144c11f1984b685210c,1-dda1e8ebc1e4675ede2c8472f8701919,921
22,30,Brigadeiro,-23.5683,-46.6482,32,49124,54,9,7,REABASTECER,18,2019-6-6,47,2d7f4c930ea39144c11f1984b6861de4,1-5b3945fb575db03353c88c6b08a82f58,1236
43,17,Brigadeiro,-23.5683,-46.6482,22,48189,15,19,29,NORMAL,10,2018-11-28,55,2d7f4c930ea39144c11f1984b688e819,1-3ca20aaed3f3722a0e6627044adcebe8,1048
16,36,Brigadeiro,-23.5683,-46.6482,25,47217,6,18,31,NORMAL,3,2018-10-13,48,2d7f4c930ea39144c11f1984b68bf408,1-0db6a048e70f822f0891c10d7ec35bec,1003
37,43,Brigadeiro,-23.5683,-46.6482,22,49368,12,49,25,NORMAL,43,2018-11-7,2,2d7f4c930ea39144c11f1984b68d8970,1-d32b546ed197974c70d40669323b892c,1027
31,34,Brigadeiro,-23.5683,-46.6482,12,48770,24,86,6,REABASTECER,12,2019-10-28,61,2d7f4c930ea39144c11f1984b691b430,1-b6b9127b96abdb9f756b3351e24ca404,1378
17,37,Trianon-Masp,-23.5634,-46.6544,25,45373,47,39,26,NORMAL,37,2018-6-13,50,2d7f4c930ea39144c11f1984b6a559c9,1-ef976c953607449035970b2df70c9540,1603
11,26,Trianon-Masp,-23.5634,-46.6544,21,42246,17,17,13,REABASTECER,14,2018-1-8,8,2d7f4c930ea39144c11f1984b6aabbb3,1-f5e4e7de247dd35bb424d8b23789deb8,1448
32,13,Trianon-Masp,-23.5634,-46.6544,7,42727,30,73,24,NORMAL,18,2018-4-9,40,2d7f4c930ea39144c11f1984b6b2d994,1-eac44b8620e4964116a8e068ec8fb9d0,1539
38,9,Trianon-Masp,-23.5634,-46.6544,34,42593,65,86,43,NORMAL,7,2019-6-13,38,2d7f4c930ea39144c11f1984b6c3290d,1-0433fd572c2e0c9938918a3b49c1198d,1963
27,40,Trianon-Masp,-23.5634,-46.6544,43,44125,50,74,39,NORMAL,40,2019-8-7,61,2d7f4c930ea39144c11f1984b6c7bf37,1-2e0c18ddffb8be25abf4898d6050abba,2017
40,15,Trianon-Masp,-23.5634,-46.6544,13,42407,18,57,30,NORMAL,22,2018-12-27,13,2d7f4c930ea39144c11f1984b6c8166d,1-5721d8dd244d858518aefc53abe3243c,1797
36,20,Trianon-Masp,-23.5634,-46.6544,18,43194,62,37,35,NORMAL,32,2019-8-28,42,2d7f4c930ea39144c11f1984b6c95fe6,1-97f129f522bc6d981342e7a50cf6bc77,2038
22,26,Trianon-Masp,-23.5634,-46.6544,24,43332,10,72,22,NORMAL,22,2018-12-8,16,2d7f4c930ea39144c11f1984b6ccf0b8,1-d51590ead0db785ecfac11b0ee75f748,1778
26,31,Trianon-Masp,-23.5634,-46.6544,40,43416,12,47,19,NORMAL,14,2018-12-19,65,2d7f4c930ea39144c11f1984b6cdcc11,1-12b5757b86fbbf59db673f5aacc4069f,1789
17,21,Trianon-Masp,-23.5634,-46.6544,20,44279,65,54,18,NORMAL,37,2019-1-24,19,2d7f4c930ea39144c11f1984b6d0b1ab,1-bdbd6119249207cd6993cb3918a73142,1824
16,8,Trianon-Masp,-23.5634,-46.6544,4,42592,37,86,4,REABASTECER,30,2019-3-21,28,2d7f4c930ea39144c11f1984b6d5b3a6,1-f62a08cfd098514dd2227c63c4dda36f,1881
9,15,Consolação,-23.5581,-46.6606,23,113952,41,8,15,NORMAL,35,2018-3-19,57,2d7f4c930ea39144c11f1984b6d9874b,1-938fd23ccae5b8cb925f041207711c15,2239
27,13,Trianon-Masp,-23.5634,-46.6544,12,44288,39,12,30,REABASTECER,31,2019-7-18,65,2d7f4c930ea39144c11f1984b6ded056,1-2a1f2491262974977ee5d150935729f2,1998
6,16,Trianon-Masp,-23.5634,-46.6544,10,44844,49,64,17,REABASTECER,20,2019-9-13,9,2d7f4c930ea39144c11f1984b6e3d050,1-e970e99e36d23b4484287acb0bd5c289,2053
21,4,Trianon-Masp,-23.5634,-46.6544,32,45344,65,53,14,REABASTECER,24,2019-10-2,65,2d7f4c930ea39144c11f1984b6e56df1,1-a820822b966c80920b0aea055539eb08,2072
21,34,Trianon-Masp,-23.5634,-46.6544,11,43761,65,33,19,NORMAL,38,2019-10-22,65,2d7f4c930ea39144c11f1984b6e6f9cf,1-b988f7975b7449396b0524d440467fa3,2092
10,9,Consolação,-23.5581,-46.6606,31,113228,65,10,3,NORMAL,41,2018-10-27,34,2d7f4c930ea39144c11f1984b6eca8b3,1-1a3bf15d645f0a1a9700a57ea46a37c5,2457
22,19,Consolação,-23.5581,-46.6606,25,114473,28,27,17,NORMAL,31,2018-4-30,32,2d7f4c930ea39144c11f1984b6f07306,1-6df35e72932699835bdeeb4c59d01ac9,2280
37,40,Consolação,-23.5581,-46.6606,3,114723,43,52,32,NORMAL,43,2018-5-7,49,2d7f4c930ea39144c11f1984b6f103f2,1-3a0aac5032f3d73ddf999756f0878cd2,2287
31,23,Consolação,-23.5581,-46.6606,18,113495,39,78,18,NORMAL,9,2018-5-30,8,2d7f4c930ea39144c11f1984b6f97e90,1-05596d8068ec26f8d2faee7f0fcc23d1,2310
14,6,Tamanduateí,-23.5929,-46.5897,6,50222,43,50,43,REABASTECER,34,2019-7-29,56,2ea2cd8177dddf2b7274d8011d022683,1-40bd52d311a1c4e12e05320cbbb7792e,3449
20,33,Tamanduateí,-23.5929,-46.5897,6,50147,7,40,21,REABASTECER,5,2019-9-24,4,2ea2cd8177dddf2b7274d8011d066ebd,1-c44a45f41e485d4a5998dc65996b46b0,3504
28,23,Tamanduateí,-23.5929,-46.5897,23,50784,12,45,21,NORMAL,11,2019-11-7,22,2ea2cd8177dddf2b7274d8011d098b8b,1-5c9457eaecb8615e01147978bc2a134a,3547
43,35,Brás,-23.5451,-46.6162,7,74259,27,11,31,REABASTECER,10,2018-2-13,34,2ea2cd8177dddf2b7274d8011d0ae6ab,1-f4206d626929362744718b8b7ff89c1d,4363
11,33,Tamanduateí,-23.5929,-46.5897,34,51099,22,39,43,NORMAL,20,2019-12-4,37,2ea2cd8177dddf2b7274d8011d0b7d48,1-b87694c31e484391e6b5fc537c2c87b3,3574
26,43,Tamanduateí,-23.5929,-46.5897,13,52757,49,62,15,NORMAL,34,2019-12-11,49,2ea2cd8177dddf2b7274d8011d0c1154,1-92b2ac4cf70b20b1fb8b3c3ea9051fea,3581
6,43,Brás,-23.5451,-46.6162,4,73862,18,24,43,REABASTECER,19,2019-4-4,14,2ea2cd8177dddf2b7274d8011d0c4a78,1-89011a0c75a49953751c20c800859432,4774
12,4,Tamanduateí,-23.5929,-46.5897,21,50785,40,13,8,NORMAL,19,2019-12-24,34,2ea2cd8177dddf2b7274d8011d0cfd00,1-f55154558c834478af786dfebf58f2cb,3594
29,36,Brás,-23.5451,-46.6162,43,72187,7,55,35,REABASTECER,43,2019-4-18,44,2ea2cd8177dddf2b7274d8011d0d2f78,1-66e62515ad83f354ea030f70bf2e2f15,4788
18,42,Brás,-23.5451,-46.6162,22,71086,8,24,20,NORMAL,15,2018-7-5,52,2ea2cd8177dddf2b7274d8011d14ee6b,1-578503c910963f4c4a7c4c6fafb7fa18,4505
30,6,Brás,-23.5451,-46.6162,8,72273,35,11,32,REABASTECER,12,2018-10-20,27,2ea2cd8177dddf2b7274d8011d1c3ad4,1-b17e2e3812ccb59747f12bcff1841bac,4610
3,33,Barra Funda,-23.5542,-46.6707,37,148660,35,75,10,NORMAL,43,2018-3-2,35,2ea2cd8177dddf2b7274d8011d23e12a,1-e39772f57c604efb30df8dd4bd6b39d0,5102
13,43,Barra Funda,-23.5542,-46.6707,25,150348,32,86,9,NORMAL,10,2018-6-8,15,2ea2cd8177dddf2b7274d8011d2a9be6,1-a998db0575d562468d680481625a332f,5198
38,8,Sé,-23.55,-46.6333,13,195102,62,66,8,NORMAL,14,2019-9-2,46,2ea2cd8177dddf2b7274d8011d398e61,1-934878827abdcef5b3ecc4f6c0d842d9,4202
31,18,Sé,-23.55,-46.6333,28,195097,65,19,43,NORMAL,16,2019-9-14,28,2ea2cd8177dddf2b7274d8011d3a82ee,1-ef34229047d621229bb9696c7a623ab8,4214
23,36,Barra Funda,-23.5542,-46.6707,37,148057,15,16,31,NORMAL,28,2018-3-17,65,2ea2cd8177dddf2b7274d8011d4056df,1-742596432314c6d8ce198a4ffa43f2b8,5117
11,38,Barra Funda,-23.5542,-46.6707,15,148518,23,9,39,REABASTECER,9,2018-5-28,24,2ea2cd8177dddf2b7274d8011d44497f,1-a44bf173217836164f80c14dedc85c0a,5188
10,19,Tatuapé,-23.5402,-46.5765,26,68568,24,86,25,REABASTECER,13,2018-1-27,2,2ea2cd8177dddf2b7274d8011d546e25,1-62c4835a944136703c2448306d00541c,5787
15,41,Barra Funda,-23.5542,-46.6707,32,146993,33,6,24,REABASTECER,5,2019-1-30,4,2ea2cd8177dddf2b7274d8011d574905,1-40a78677625e05c1ea1a78d15548c5df,5430
37,12,Barra Funda,-23.5542,-46.6707,10,147710,65,67,33,NORMAL,31,2019-12-19,8,2ea2cd8177dddf2b7274d8011d6e3e5d,1-9ea25c4ca8644767c657e95404a8232c,5749
23,28,Tatuapé,-23.5402,-46.5765,23,67377,56,11,27,NORMAL,33,2018-3-18,33,2ea2cd8177dddf2b7274d8011d73dac2,1-23c1e6dabca60c414e23833e680be5af,5838
28,28,Brás,-23.5451,-46.6162,28,74004,41,17,3,NORMAL,40,2019-11-21,22,2ea2cd8177dddf2b7274d8011d77c51f,1-9f714a6963e372c54cbfd364596f10f7,5001
10,12,Brás,-23.5451,-46.6162,12,72985,8,45,19,NORMAL,17,2019-11-27,52,2ea2cd8177dddf2b7274d8011d782944,1-0a35be6be13805bfd94068b0f10b07fd,5007
8,38,Tatuapé,-23.5402,-46.5765,2,69571,11,68,36,REABASTECER,4,2018-5-26,21,2ea2cd8177dddf2b7274d8011d793e50,1-24e2035f27cb36d341f1b039656b4328,5906
43,26,Brás,-23.5451,-46.6162,32,73028,59,67,4,NORMAL,17,2019-12-21,36,2ea2cd8177dddf2b7274d8011d7a959e,1-36061bb59d7d549e4c936135a55a7b55,5031
15,12,Tatuapé,-23.5402,-46.5765,25,68917,29,39,31,NORMAL,12,2018-6-16,65,2ea2cd8177dddf2b7274d8011d7ad1ac,1-4db1f8573bb66e79dfe3d0d00e04dc48,5926
25,24,Barra Funda,-23.5542,-46.6707,30,148633,40,46,28,NORMAL,30,2018-1-5,37,2ea2cd8177dddf2b7274d8011d7b90d3,1-8719d012cf2035b81d5903994acf4e81,5045
40,4,Tatuapé,-23.5402,-46.5765,38,67323,26,50,8,REABASTECER,35,2018-9-13,56,2ea2cd8177dddf2b7274d8011d81276f,1-339ce8e3c553b364be23800721fa8a51,6013
38,7,Barra Funda,-23.5542,-46.6707,34,146760,44,86,38,NORMAL,41,2018-4-16,58,2ea2cd8177dddf2b7274d8011d83a502,1-5d9c99a127cc8e8595b65db017a2fce6,5146
10,9,Tatuapé,-23.5402,-46.5765,43,68108,46,37,33,NORMAL,10,2018-10-22,33,2ea2cd8177dddf2b7274d8011d84c68c,1-52868b3270b2fe6016bb33908ac266a5,6052
33,35,Tatuapé,-23.5402,-46.5765,34,70819,52,86,27,NORMAL,36,2018-12-8,37,2ea2cd8177dddf2b7274d8011d8826ab,1-45c9d65d95a43e55d42fb2e181e68517,6098
35,28,Barra Funda,-23.5542,-46.6707,17,146960,28,31,34,NORMAL,19,2018-7-27,65,2ea2cd8177dddf2b7274d8011d8b932e,1-dd085f37f9a076691694b42c13b8e4bf,5247
40,43,Tatuapé,-23.5402,-46.5765,4,68700,10,53,28,REABASTECER,12,2019-3-8,19,2ea2cd8177dddf2b7274d8011d8efbbe,1-6624893b16ba9f2c9d27404003c24823,6188
19,29,Tatuapé,-23.5402,-46.5765,35,69621,65,66,11,NORMAL,33,2019-3-25,45,2ea2cd8177dddf2b7274d8011d8ffc96,1-efaab30e8155eab3724cd04b970f7154,6205
3,26,República,-23.5436,-46.6434,14,109590,7,77,21,REABASTECER,24,2018-6-28,50,2ea2cd8177dddf2b7274d8011d94864f,1-1270fd317fbda6b90860f3a38554273c,6658
27,36,Barra Funda,-23.5542,-46.6707,15,150635,27,46,27,NORMAL,33,2018-11-23,32,2ea2cd8177dddf2b7274d8011d94973d,1-43345b7f8148eda8033ef18881bcc508,5363
17,33,Tatuapé,-23.5402,-46.5765,25,70456,54,4,15,REABASTECER,25,2019-6-19,38,2ea2cd8177dddf2b7274d8011d96a7ce,1-64c221ba57a273e109b429984414fda1,6289
39,15,Tatuapé,-23.5402,-46.5765,3,70679,17,7,4,REABASTECER,4,2019-10-10,56,2ea2cd8177dddf2b7274d8011d9d4c22,1-91382dfb8134848840e4e30035e5009f,6400
12,43,Tatuapé,-23.5402,-46.5765,24,68154,38,75,20,REABASTECER,17,2019-10-29,9,2ea2cd8177dddf2b7274d8011d9ed94d,1-4956e9830d8a91930b7c57e4269607aa,6419
29,34,Barra Funda,-23.5542,-46.6707,33,150706,54,38,18,NORMAL,24,2019-5-3,18,2ea2cd8177dddf2b7274d8011d9ff2f1,1-ff8d158f4a8d5c0844f4e61480d0545e,5523
33,39,Barra Funda,-23.5542,-46.6707,31,149040,58,77,16,NORMAL,27,2019-6-25,44,2ea2cd8177dddf2b7274d8011da41d9e,1-4e606d55cabf69e46958bdf95a40940e,5575
12,15,Tatuapé,-23.5402,-46.5765,31,69368,8,6,15,REABASTECER,7,2018-1-9,12,2ea2cd8177dddf2b7274d8011db2adaa,1-7749d032af731583cc402845e3079d58,5769
36,32,República,-23.5436,-46.6434,16,110886,58,64,43,NORMAL,43,2019-9-28,15,2ea2cd8177dddf2b7274d8011db3810f,1-daf8e690e77334e3c963f45ae77da574,7108
33,31,Higienópolis-Mackenzie,-23.5488,-46.6519,33,92003,44,45,25,NORMAL,23,2018-1-5,34,2ea2cd8177dddf2b7274d8011dba4952,1-9620b46050aa25e1c1f25be08c1318dc,7205
3,21,Higienópolis-Mackenzie,-23.5488,-46.6519,43,93132,15,16,37,REABASTECER,9,2018-2-12,36,2ea2cd8177dddf2b7274d8011dbd1724,1-22fdd637a829b8f5272a50131c52ad90,7242
32,37,República,-23.5436,-46.6434,17,110979,23,3,34,REABASTECER,33,2019-2-8,41,2ea2cd8177dddf2b7274d8011dbf8cc1,1-69940f11a9ae7bac3444048f90fa4d64,6878
43,28,Higienópolis-Mackenzie,-23.5488,-46.6519,14,90335,14,86,7,NORMAL,18,2018-6-6,36,2ea2cd8177dddf2b7274d8011dc528fc,1-84f2768c90d591e977598b99e3938e6b,7356
30,1,Tatuapé,-23.5402,-46.5765,37,69104,21,39,18,REABASTECER,21,2018-11-9,37,2ea2cd8177dddf2b7274d8011dc988d8,1-6ab1675515680a2402d626b8559d0e5f,6069
11,43,Higienópolis-Mackenzie,-23.5488,-46.6519,34,89656,60,6,43,REABASTECER,7,2018-8-23,47,2ea2cd8177dddf2b7274d8011dcb0cc7,1-8dd67c33e68ae59737d097f857ddbe58,7433
13,28,Higienópolis-Mackenzie,-23.5488,-46.6519,37,90580,8,4,9,NORMAL,19,2018-10-15,65,2ea2cd8177dddf2b7274d8011dce5e8e,1-c20927561f2cb3ef3cb590e31086d950,7485
19,10,Higienópolis-Mackenzie,-23.5488,-46.6519,19,92543,65,34,35,NORMAL,13,2018-12-7,29,2ea2cd8177dddf2b7274d8011dd25437,1-e804366c71a205b178db124e921c98c9,7537
10,7,Higienópolis-Mackenzie,-23.5488,-46.6519,15,93350,50,16,25,REABASTECER,1,2018-12-9,17,2ea2cd8177dddf2b7274d8011dd277d2,1-179d7ccdc49b6c95b011c18682b58c86,7539
20,20,Higienópolis-Mackenzie,-23.5488,-46.6519,32,91646,57,28,33,NORMAL,11,2018-12-17,39,2ea2cd8177dddf2b7274d8011dd31f67,1-7047cadedf8b148c19567147e85a8d49,7547
43,35,Tatuapé,-23.5402,-46.5765,35,67675,31,45,32,NORMAL,31,2019-4-24,41,2ea2cd8177dddf2b7274d8011dd6c871,1-03a21fec9c7ec672ec793db2061f721c,6234
41,35,Tatuapé,-23.5402,-46.5765,31,70683,25,33,30,NORMAL,26,2019-4-25,34,2ea2cd8177dddf2b7274d8011dd6d72a,1-264aea54641543cb10c44b8a76ce3de6,6235
